variant,psnr_mean,ssim_mean,psnr_min,psnr_max,ms_per_img,latency_ms_256,n,quant_coverage
fp32,36.575581052090634,0.9861568648319576,31.132098376523988,44.30656924793409,875.6626068381593,242.54791415296495,500,-
int8_dyn_all,36.470272099763854,0.984249921249399,31.09398688417109,43.795808853230255,967.9338878239505,189.73372525069863,500,26/26 Linear
int8_dyn_mixed_top5,36.55122534835501,0.9860385450554539,31.055552893965302,44.22417972221987,807.8241998860613,190.2105656976346,500,21/26 Linear
